date,value
2018-9-11,3
2018-9-20,2
2018-9-30,1
2018-9-15,1
2018-8-30,4
2018-9-26,2
2018-9-29,1
2018-9-22,1
2018-9-13,1
2018-8-28,9
2018-8-27,7
2018-8-25,3
2018-8-20,7
2018-9-2,3
2018-9-16,2
2018-8-29,5
2018-8-22,7
2018-8-26,3
2018-8-23,11
2018-8-21,4
2018-8-19,4
2018-8-18,6
2018-10-2,2
2018-9-17,3
2018-9-31,1
2018-8-24,5
2018-9-10,1
2018-9-9,2
2018-9-4,1
2018-9-5,1
2018-8-14,27
2018-8-16,3
2018-8-15,4
2018-8-13,15
2018-8-12,16
2018-8-17,5
2018-8-11,12
2018-8-10,13
2018-8-9,9
2018-8-8,7
2018-6-30,1
2018-8-4,1
2018-8-7,10
2018-7-12,2
2018-7-8,6
2018-7-19,1
2018-7-15,1
2018-7-31,1
2018-8-6,2
2018-7-28,1
2018-7-22,3
2018-7-4,4
2018-7-17,2
2018-7-1,1
2018-7-16,2
2018-7-10,6
2018-7-21,1
2018-7-9,2
2018-8-5,1
2018-8-3,1
2018-6-31,1
2018-6-27,3
2018-6-20,3
2018-6-24,2
2018-6-15,5
2018-6-14,2
2018-6-28,2
2018-6-12,1
2018-6-23,1
2018-6-25,2
2018-6-16,3
2018-6-10,2
2018-6-17,4
2018-6-29,2
2018-6-26,1
2018-6-11,2
2018-6-6,2
2018-5-25,4
2018-5-30,6
2018-6-1,1
2018-5-18,5
2018-5-12,2
2018-5-26,1
2018-5-17,4
2018-5-4,2
2018-5-20,3
2018-5-8,5
2018-5-16,5
2018-5-2,2
2018-5-15,2
2018-5-24,1
2018-5-19,1
2018-6-2,2
2018-6-5,2
2018-5-11,2
2018-5-3,3
2018-5-23,1
2018-5-13,1
2018-5-10,5
2018-5-1,3
2018-5-14,2
2018-4-19,3
2018-4-21,9
2018-4-18,1
2018-4-28,2
2018-4-22,2
2018-4-12,3
2018-4-17,2
2018-4-11,2
2018-4-9,3
2018-4-29,1
2018-4-20,3
2018-4-10,1
2018-4-15,2
2018-4-13,1
2018-4-16,1
2018-3-14,4
2018-4-6,4
2018-4-7,3
2018-4-8,2
2018-3-27,2
2018-3-3,4
2018-4-4,2
2018-3-21,1
2018-3-13,1
2018-3-2,1
2018-2-28,2
2018-2-23,6
2018-3-26,2
2018-3-5,2
2018-2-21,9
2018-3-23,1
2018-3-22,2
2018-3-7,1
2018-2-29,1
2018-2-25,3
2018-4-5,1
2018-2-26,2
2018-2-27,1
2018-3-18,1
2018-3-16,2
2018-3-19,1
2018-3-30,1
2018-3-4,3
2018-2-31,1
2018-2-24,1
2018-2-20,2
2018-2-15,1
2018-2-6,3
2018-2-4,2
2018-2-5,7
2018-2-11,2
2018-2-3,3
2018-1-26,4
2018-2-17,3
2018-2-14,1
2018-2-7,1
2018-2-16,1
2018-2-2,1
2018-2-9,1
2018-1-28,1
2018-1-27,1
2018-1-25,1
2018-1-20,3
2018-1-19,1
2018-1-8,1
2018-1-24,2
2018-1-21,2
2018-1-16,2
2018-1-23,2
2018-1-9,4
2018-1-5,11
2018-1-4,9
2018-1-10,6
2018-1-11,1
2018-1-15,1
2018-1-14,2
2018-1-13,2
2018-1-7,4
2018-1-6,4
2018-1-3,3
2018-1-17,1
2018-1-12,1
2018-1-2,4
2018-1-1,8
2018-0-30,6
2018-0-28,23
2018-0-31,3
2018-0-29,2
2018-0-24,8
2018-0-27,6
2018-0-16,1
2018-0-22,3
2018-0-21,3
2018-0-20,9
2018-0-18,2
2018-0-23,4
2018-0-17,5
2018-0-19,3
2018-0-13,3
2018-0-25,1
2018-0-12,2
2018-0-14,1
2018-0-9,2
2018-0-6,9
2018-0-1,3
2018-0-4,2
2017-11-30,8
2018-0-7,2
2018-0-3,3
2017-11-31,4
2018-0-5,3
2018-0-2,1
2017-11-24,8
2017-11-29,9
2017-11-27,9
2017-11-28,11
2017-11-23,5
2017-11-22,7
2017-11-25,6
2017-11-26,6
2017-11-21,5
2017-11-18,2
2017-11-19,1
2017-11-15,4
2017-11-20,5
2017-11-12,6
2017-11-6,10
2017-11-13,2
2017-11-11,2
2017-11-9,3
2017-11-7,1
2017-11-16,1
2017-11-8,1
2017-11-10,2
2017-11-17,1
2017-11-5,6
2017-11-3,10
2017-10-30,5
2017-11-1,4
2017-10-24,3
2017-10-29,3
2017-10-27,2
2017-10-28,7
2017-11-2,5
2017-10-26,6
2017-10-25,6
2017-10-11,9
2017-10-21,2
2017-10-16,3
2017-10-17,2
2017-10-22,1
2017-10-19,3
2017-10-20,2
2017-10-18,2
2017-10-15,6
2017-10-13,1
2017-10-10,2
2017-10-23,1
2017-10-12,2
2017-9-22,3
2017-9-24,1
2017-10-2,1
2017-10-9,2
2017-9-18,2
2017-10-8,2
2017-9-15,2
2017-9-14,2
2017-9-3,1
2017-9-4,2
2017-9-1,5
2017-10-5,3
2017-9-30,1
2017-9-21,3
2017-10-6,5
2017-9-13,2
2017-9-7,4
2017-9-10,2
2017-10-1,2
2017-9-28,1
2017-9-16,3
2017-9-6,3
2017-9-2,1
2017-9-12,1
2017-9-5,1
2017-9-29,1
2017-9-26,1
2017-9-8,1
2017-9-19,2
2017-9-17,2
2017-9-27,2
2017-10-3,1
2017-9-9,1
2017-8-30,5
2017-8-25,3
2017-8-26,4
2017-8-23,5
2017-8-22,2
2017-8-16,2
2017-8-14,2
2017-8-28,2
2017-8-27,1
2017-8-24,2
2017-8-17,1
2017-8-29,3
2017-8-15,1
2017-8-20,1
2017-8-18,1
2017-8-10,6
2017-8-11,1
2017-8-13,5
2017-8-5,6
2017-8-12,9
2017-8-8,3
2017-8-9,1
2017-7-31,6
2017-8-4,2
2017-8-2,9
2017-7-28,3
2017-8-3,3
2017-8-1,3
2017-7-30,1
2017-8-7,1
2017-7-29,2
2017-7-27,1
